"Marca temporal","Seleccione el rango etario al cual pertenece","Seleccione nacionalidad a la que pertenece ","¿Cuántas veces a la semana realiza actividad física de al menos 30 minutos al día?","¿Con cuánta frecuencia consume galletas?","¿En qué tiempo de comida suele consumir galletas?","¿Qué tipo de galletas consume?","¿Cuántas unidades suele consumir de galletas?","¿En qué se fija al momento de comprar una galleta?","Considerando su respuesta anterior, ¿cuál es el factor más importante para usted al momento de comprar una galleta?","¿Suele leer los ingredientes de estas galletas?","¿Consume galletas con alguno de estos ingredientes que aportan fibra dietética, enfocados en mejorar la salud intestinal?","¿Se siente satisfecho luego del consumo de galletas?","¿Ha notado diferencias en la sensación de plenitud (sentirse satisfecho) cuando consume galletas azucaradas en comparación a las integrales?  ","¿Cuánto dinero está dispuesto a pagar al momento de comprar un paquete de galletas? ","¿Estaría dispuesto a pagar más por una galleta de mejor composición nutricional que presente beneficios para su salud digestiva?","¿Usted consumiría galletas preparadas con harina de cáscara de papa?","¿Cuál de estos factores consideraría más importante al momento de comprar una galleta elaborada con cáscara de papa?","¿Cuál de las siguientes afirmaciones refleja mejor su opinión sobre galletas con cáscara de papas?"
"2024/05/16 2:55:25 a. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces a la semana","A cualquier hora del día","Galletas integrales;Galletas de soda/agua;Galletas rellenas con crema;Galletas de arroz","3 unidades","Precio;Sabor;Empaque llamativo","Sabor","Algunas veces","Galletas de salvado trigo","No, no me quita el hambre","No he prestado atención","$1500 - $2000","Sí","Sí","Bajo contenido de grasas saturadas;Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 2:57:44 a. m. GMT-4","18-24 años","Chilena","5-6 veces a la semana","1-2 veces al mes","A cualquier hora del día","Galletas tipo oblea;Galletas rellenas con crema","Más de 10 unidades","Precio;Sabor","Sabor","No","No consumo","Sí, me quita el hambre","Sí","$1000 - $1500","Tal vez","Sí","Bajo contenido de grasas saturadas;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","No tengo suficiente información para formar una opinión"
"2024/05/16 12:10:13 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces al mes","Once","Galletas de sabores (mantequilla, limón, vino, chocolate)","3 unidades","Sabor","Sabor","Algunas veces","Galletas de almidón modificado","No, no me quita el hambre","No he prestado atención","$1000 - $1500","Sí","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 12:15:08 p. m. GMT-4","25-30 años","Chilena","3-4 veces a la semana","1-2 veces a la semana","Once","Galletas sin azúcar;Galletas de arroz","3 unidades","Calidad;Sabor;Ingredientes saludables","Ingredientes saludables","Sí","No consumo","Sí, me quita el hambre","No he prestado atención","$2000 - $3000","Sí","Tal vez","Bajo contenido de grasas saturadas;Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente","No tengo suficiente información para formar una opinión"
"2024/05/16 12:20:22 p. m. GMT-4","31-40 años","Chilena","1-2 veces a la semana","1-2 veces a la semana","Once","Galletas de soda/agua;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","Más de 10 unidades","Calidad;Sabor","Sabor","Algunas veces","Galletas de salvado arroz","Sí, me quita el hambre","No he prestado atención","$1500 - $2000","Sí","Sí","Alto contenido de fibra","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 12:20:31 p. m. GMT-4","25-30 años","Colombiana","3-4 veces a la semana","1-2 veces al mes","A cualquier hora del día","Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Sabor;Sellos de advertencia","Sabor","Algunas veces","Galletas de almidón modificado","No, no me quita el hambre","No he prestado atención","$1500 - $2000","Sí","Tal vez","Bajo contenido de grasas saturadas;Alto contenido de fibra;Reducción del desperdicio de alimentos","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 12:22:16 p. m. GMT-4","31-40 años","Chilena","No realizo actividad física","1-2 veces a la semana","Cena","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","6 unidades","Sabor","Sabor","No","No consumo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Sí","Sí","Bajo contenido de grasas saturadas;Precio conveniente","No tengo suficiente información para formar una opinión"
"2024/05/16 12:22:21 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","1-2 veces al mes","Colación","Galletas de sabores (mantequilla, limón, vino, chocolate)","6 unidades","Sabor;Marca","Sabor","No","Galletas de harina integral;Galletas de salvado arroz","No, no me quita el hambre","No he prestado atención","$500 - $1000","Sí","Sí","Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 12:22:25 p. m. GMT-4","18-24 años","Chilena","5-6 veces a la semana","3-4 veces a la semana","Colación","Galletas rellenas con crema;Galletas de arroz;Galletas de sabores (mantequilla, limón, vino, chocolate)","6 unidades","Precio;Sabor","Sabor","Algunas veces","Galletas de salvado trigo;Galletas de salvado arroz","Sí, me quita el hambre","No he prestado atención","$500 - $1000","Tal vez","Sí","Bajo contenido de grasas saturadas;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 12:23:25 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces a la semana","A cualquier hora del día","Galletas rellenas con crema;Galletas sin azúcar;Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Precio;Sabor","Sabor","No","No consumo","No, no me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Sí","Precio conveniente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
